Position,Title,TotalScore,ListsAppeared
1,Genshin Impact (2020),57,5
2,Call of Duty: Mobile (2019),37,4
3,Among Us (2018),32,3
4,Angry Birds (2009),31,3
5,Clash Royale (2016),29,3
6,Temple Run (2011),26,3
7,Asphalt 9: Legends (2018),25,2
8,Minecraft: Pocket Edition (2012),25,3
9,Stardew Valley (2016),21,2
10,Clash of Clans (2012),18,2
11,Marvel Snap (2022),18,2
12,League of Legends: Wild Rift (2020),15,2
13,"Papers, Please (2013)",15,1
14,Fortnite (2017),15,2
15,Vampire Survivors (2021),15,1
16,Subway Surfers (2012),14,1
17,Plants vs. Zombies (2009),14,2
18,Voice of Cards: The Isle Dragon Roars (2021),14,1
19,Sid Meier's Civilization VI (2016),14,1
20,Robbery Bob (2012),14,1
21,Raid: Shadow Legends (2018),13,1
22,Mario Kart Tour (2019),13,2
23,Candy Crush Saga (2012),13,1
24,Tears of Themis (2021),13,1
25,To the Moon (2011),13,1
26,Flappy Bird (2013),13,1
27,Mortal Kombat (1993),12,1
28,Thimbleweed Park (2017),12,1
29,Limbus Company (2023),12,1
30,Apex Legends Mobile (2022),11,1
31,Honkai: Star Rail (2023),11,1
32,Sky: Children of the Light (2019),10,1
33,Super Mario Run (2016),10,1
34,20 Minutes Till Dawn (2022),10,1
35,Jetpack Joyride (2011),10,1
36,Alto's Odyssey (2018),9,1
37,Garena Free Fire Max (2021),9,1
38,Geometry Dash (2013),9,1
39,Wayward Souls: Curse of Shadow (2014),9,1
40,Legends of Runeterra (2020),9,1
41,Table Top Racing (2014),9,1
42,Extreme Road Trip 2 (2012),9,1
43,Beach Buggy Racing (2014),8,1
44,Yu-Gi-Oh! Master Duel (2022),8,1
45,Kingdom Rush Frontiers (2013),8,1
46,Earn to Die 2 (2014),7,1
47,Pokémon Unite (2021),7,1
48,Before Your Eyes (2021),7,1
49,Grand Mountain Adventure (2019),7,1
50,Saint Seiya: Legends of Justice (2022),6,1
51,Fruit Ninja (2010),6,1
52,Two Dots (2014),6,1
53,Sonic the Hedgehog (1991),6,1
54,PUBG Mobile (2018),5,1
55,Alto's Adventure (2015),5,1
56,Diablo Immortal (2022),4,1
57,Marvel Strike Force (2018),4,1
58,Rise of Cultures (2021),4,1
59,Mafia City: War of Underworld (2017),4,1
60,Doodle Jump (2009),4,1
61,Brawl Stars (2018),3,2
62,Fantasian (2021),3,1
63,Penguin Isle (2019),3,1
64,Cut the Rope (2010),3,1
65,Dragon Ball Legends (2018),2,1
66,Bastion (2011),2,1
67,Crossy Road (2014),2,1
68,Pocket City (2018),1,1
69,Where Shadows Slumber (2018),1,1
70,Dumb Ways to Die (2013),1,1
