Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Genshin Impact,2020-09-28,119277,15,393,co480t
2,Call of Duty: Mobile,2019-05-14,106805,14,1286,co1vqe
3,Asphalt 9: Legends,2018-02-26,23314,13,1309,co1v07
4,Mortal Kombat,1993-09-09,242151,12,737,co69x7
5,League of Legends: Wild Rift,2020-10-27,124700,11,1277,co1s08
6,Clash Royale,2016-01-04,15707,10,1307,co1mb7
7,Garena Free Fire Max,2021-06-09,149972,9,1324,co52c8
8,Yu-Gi-Oh! Master Duel,2022-01-18,159298,8,1325,co4d2x
9,Pokémon Unite,2021-07-20,135381,7,1326,co3vnh
10,Saint Seiya: Legends of Justice,2022-07-12,209634,6,1327,co4zi8
11,PUBG Mobile,2018-03-19,95340,5,1328,co1njn
12,Diablo Immortal,2022-06-02,111651,4,1329,co2pwy
13,Minecraft: Pocket Edition,2012-09-13,46745,3,1311,co1rgc
14,Mario Kart Tour,2019-09-25,85663,2,1300,co1sc8
15,Brawl Stars,2018-12-12,55945,1,1305,co1mb9
