Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Among Us,2018-06-15,111469,15,762,co45rg
2,Sid Meier's Civilization VI,2016-10-20,19130,14,1299,co5r54
3,To the Moon,2011-11-01,5025,13,653,co25yv
4,Call of Duty: Mobile,2019-05-14,106805,12,1286,co1vqe
5,Mario Kart Tour,2019-09-25,85663,11,1300,co1sc8
6,Fortnite,2017-07-25,1905,10,253,co2ekt
7,Table Top Racing,2014-03-05,8350,9,1301,co61d5
8,Angry Birds,2009-12-10,2035,8,1283,co4adm
9,Grand Mountain Adventure,2019-03-27,112144,7,1302,co1xj8
10,Sonic the Hedgehog,1991-06-23,3192,6,866,co5klr
11,Temple Run,2011-08-04,2475,5,1280,co2rk3
12,Mafia City: War of Underworld,2017-05-16,87354,4,1303,jpzfydagfprn9q7mvcao
13,Penguin Isle,2019-08-26,165238,3,1304,co3m8m
14,Brawl Stars,2018-12-12,55945,2,1305,co1mb9
15,Where Shadows Slumber,2018-09-10,73171,1,1306,hoypglwrqmoskhchcq4u
