SourceName,SourceURL,SourceId,GeneratedCsvPath
Gamerant,https://gamerant.com/best-open-world-games-all-time/,218,gamerant - 2023-08-08_10-33-41.csv
Denofgeek,https://www.denofgeek.com/games/best-open-world-games-ever/,171,denofgeek - 2023-08-08_10-38-14.csv
GamesRadar+,https://www.gamesradar.com/best-open-world-games/,129,gamesradar+ - 2023-08-08_10-44-05.csv
IGN,https://www.ign.com/articles/the-10-best-open-world-games,94,ign - 2023-08-08_10-45-35.csv
CBR,https://www.cbr.com/beautiful-open-world-games/,179,cbr - 2023-08-08_10-49-17.csv
Gameranx,https://gameranx.com/features/id/6335/article/best-open-world-games/,274,gameranx - 2023-08-08_10-53-04.csv
History-computer,https://history-computer.com/the-8-absolute-best-open-world-games-of-all-time/,253,history-computer - 2023-08-08_10-55-10.csv
Destructoid,https://www.destructoid.com/best-open-world-games-out-right-now-ranked/,176,destructoid - 2023-08-08_10-57-29.csv
Fictionhorizon,https://fictionhorizon.com/50-best-open-world-games-of-all-time-2021-updated/,275,fictionhorizon - 2023-08-08_11-00-06.csv
Culturedvultures,https://culturedvultures.com/best-open-world-games/,158,culturedvultures - 2023-08-08_11-02-48.csv
Rockpapershotgun,https://www.rockpapershotgun.com/the-best-open-world-games,276,rockpapershotgun - 2023-08-08_11-05-10.csv
Watchmojo,https://www.watchmojo.com/articles/top-20-open-world-video-games-of-all-time,241,watchmojo - 2023-08-08_11-09-38.csv
Whatculture,https://whatculture.com/gaming/10-greatest-open-world-games-of-all-time,266,whatculture - 2023-08-08_11-12-05.csv
Tom's Guide,https://www.tomsguide.com/best-picks/best-open-world-games,102,tom's guide - 2023-08-08_11-14-09.csv
Thetoptens,https://www.thetoptens.com/games/best-open-world-games/,181,thetoptens - 2023-08-08_11-19-48.csv
Gaming,https://gaming.myotakuworld.com/list/best-open-world-games/,277,gaming - 2023-08-08_11-22-28.csv
Highgroundgaming,https://www.highgroundgaming.com/best-open-world-games/,263,highgroundgaming - 2023-08-08_11-24-11.csv
