Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Witcher 3: Wild Hunt,2015-05-19,1942,15,347,co1wyy
2,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,14,21,co5vmg
3,Red Dead Redemption 2,2018-10-26,25076,13,352,co1q1f
4,Grand Theft Auto V,2013-09-17,1020,12,323,co2lbd
5,Elden Ring,2022-02-25,119133,11,10,co4jni
6,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,10,23,co3p2d
7,Marvel's Spider-Man,2018-09-07,19565,9,349,co1r77
8,Sleeping Dogs,2012-08-13,1267,8,1185,co2e3z
9,Ghost of Tsushima,2020-07-17,75235,7,353,co2crj
10,Assassin's Creed Odyssey,2018-10-05,103054,6,415,co2nul
11,Genshin Impact,2020-09-28,119277,5,393,co480t
12,Cyberpunk 2077,2020-12-09,1877,4,736,co4hk8
13,No Man's Sky,2016-08-09,3225,3,65,co5j66
14,Minecraft,2011-11-18,121,2,201,co49x5
15,Death Stranding,2019-11-08,19564,1,399,co5vq8
