Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Witcher 3: Wild Hunt,2015-05-19,1942,15,347,co1wyy
2,Red Dead Redemption 2,2018-10-26,25076,14,352,co1q1f
3,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,13,21,co5vmg
4,Grand Theft Auto V,2013-09-17,1020,12,323,co2lbd
5,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,11,23,co3p2d
6,Horizon Forbidden West,2022-02-18,112874,10,17,co2gvu
7,Ghost of Tsushima,2020-07-17,75235,9,353,co2crj
8,Elden Ring,2022-02-25,119133,8,10,co4jni
9,Assassin's Creed Valhalla,2020-11-10,133004,7,604,co2ed3
10,The Elder Scrolls V: Skyrim,2011-11-10,472,6,392,co1tnw
11,Marvel's Spider-Man,2018-09-07,19565,5,349,co1r77
12,Genshin Impact,2020-09-28,119277,4,393,co480t
13,Sea of Thieves,2018-03-20,11137,3,366,co2558
14,Forza Horizon 5,2021-11-09,141503,2,360,co3ofx
15,Days Gone,2019-04-26,19561,1,1055,co1izz
