Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,15,23,co3p2d
2,The Witcher 3: Wild Hunt,2015-05-19,1942,14,347,co1wyy
3,Grand Theft Auto V,2013-09-17,1020,13,323,co2lbd
4,Red Dead Redemption 2,2018-10-26,25076,12,352,co1q1f
5,Elden Ring,2022-02-25,119133,11,10,co4jni
6,Fallout: New Vegas,2010-10-19,16,10,484,co1u60
7,The Elder Scrolls V: Skyrim,2011-11-10,472,9,392,co1tnw
8,Metal Gear Solid V: The Phantom Pain,2015-09-01,1985,8,331,co1v85
9,Horizon Forbidden West,2022-02-18,112874,7,17,co2gvu
10,Marvel's Spider-Man: Miles Morales,2020-11-12,134581,6,157,co2dwe
