Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,15,23,co3p2d
2,Grand Theft Auto V,2013-09-17,1020,14,323,co2lbd
3,The Witcher 3: Wild Hunt,2015-05-19,1942,13,347,co1wyy
4,Marvel's Spider-Man,2018-09-07,19565,12,349,co1r77
5,Far Cry 3,2012-11-28,529,11,868,co1vpd
6,Minecraft,2011-11-18,121,10,201,co49x5
7,Elden Ring,2022-02-25,119133,9,10,co4jni
8,Just Cause 2,2010-03-23,558,8,1688,co1qri
9,Borderlands 2,2012-09-18,1011,7,485,co20tn
10,Assassin's Creed IV Black Flag,2013-10-29,1970,6,1401,co4qfn
