Position,Title,TotalScore,ListsAppeared
1,The Witcher 3: Wild Hunt (2015),24,2
2,Grand Theft Auto V (2013),21,2
3,Minecraft (2011),18,2
4,Half-Life: Alyx (2020),15,1
5,Call of Duty: Modern Warfare 2 (2009),15,1
6,Disco Elysium: The Final Cut (2021),15,1
7,Doom Eternal (2020),14,1
8,Half-Life 2 (2004),14,1
9,XCOM 2 (2016),13,1
10,Diablo III (2012),13,1
11,Portal 2 (2011),13,1
12,Disco Elysium (2019),12,1
13,The Sims (2000),12,1
14,Elden Ring (2022),11,1
15,Mass Effect 2 (2010),11,1
16,Crusader Kings III (2020),10,1
17,The Elder Scrolls V: Skyrim (2011),10,1
18,Hollow Knight (2017),9,1
19,Fallout 4 (2015),9,1
20,Outer Wilds (2019),8,1
21,Star Wars Jedi: Fallen Order (2019),8,1
22,World of Warcraft (2004),8,1
23,Hades (2019),7,1
24,Fortnite (2017),7,1
25,Final Fantasy XIV Online (2010),6,1
26,Apex Legends (2019),6,2
27,Dishonored 2 (2016),6,1
28,Persona 5 Royal (2019),6,1
29,Divinity: Original Sin II - Definitive Edition (2018),5,1
30,Red Dead Redemption 2 (2018),5,1
31,Baldur's Gate II: Shadows of Amn (2000),5,1
32,God of War (2018),4,1
33,Sid Meier's Civilization II (1996),4,1
34,Slay the Spire (2019),2,1
35,BioShock (2007),2,1
36,FTL: Faster Than Light (2012),1,1
37,Undertale (2015),1,1
