Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Witcher 3: Wild Hunt,2015-05-19,1942,15,347,co1wyy
2,Final Fantasy VII,1997-01-31,427,14,247,co2kx2
3,Divinity: Original Sin II - Definitive Edition,2018-08-31,103337,13,726,co1y5o
4,Disco Elysium: The Final Cut,2021-03-30,141540,12,431,co2ve1
5,Undertale,2015-09-15,12517,11,413,co2855
6,Path of Exile,2013-10-23,1911,10,1510,co1n6w
7,Elden Ring,2022-02-25,119133,9,10,co4jni
8,The Elder Scrolls V: Skyrim,2011-11-10,472,8,392,co1tnw
9,Chrono Trigger,1995-03-11,1802,7,519,co3plw
10,World of Warcraft,2004-11-23,123,6,514,co2l7z
11,Diablo II,2000-06-29,126,5,1087,co3gfq
12,Fallout: New Vegas,2010-10-19,16,4,484,co1u60
13,Planescape: Torment,1999-12-12,832,3,734,co3ggb
14,Baldur's Gate II: Shadows of Amn,2000-09-21,6,2,1089,co1y4w
15,Persona 5 Royal,2019-10-31,114283,1,108,co1nic
