Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Chrono Trigger,1995-03-11,1802,15,519,co3plw
2,World of Warcraft,2004-11-23,123,14,514,co2l7z
3,Diablo II,2000-06-29,126,13,1087,co3gfq
4,Final Fantasy VI,1994-04-02,426,12,515,co31c2
5,The Witcher 3: Wild Hunt,2015-05-19,1942,11,347,co1wyy
6,Mass Effect 2,2010-01-26,74,10,334,co20ac
7,Fallout: New Vegas,2010-10-19,16,9,484,co1u60
8,The Elder Scrolls III: Morrowind,2002-05-01,56,8,800,co2knd
9,Pokémon Red,1996-02-27,1561,7,513,co5pi4
10,Dark Souls,2011-09-22,2155,6,26,co1x78
11,Baldur's Gate II: Shadows of Amn,2000-09-21,6,5,1089,co1y4w
12,Planescape: Torment,1999-12-12,832,4,734,co3ggb
13,Suikoden II,1998-12-17,1454,3,340,co1y6a
14,Deus Ex,2000-06-26,41,2,1086,co1r7n
15,Final Fantasy IX,2000-07-07,421,1,302,co2unc
