Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Final Fantasy IX,2000-07-07,421,15,302,co2unc
2,Yakuza: Like a Dragon,2020-01-16,36550,14,614,co2em9
3,Vampire: The Masquerade - Bloodlines,2004-11-16,11,13,1500,co2n14
4,Baldur's Gate: Enhanced Edition,2012-11-27,1880,12,1501,co1ndn
5,Planescape: Torment - Enhanced Edition,2017-04-11,27988,11,1502,co4kpe
6,System Shock 2,1999-08-11,22,10,1084,co4bak
7,Final Fantasy VII,1997-01-31,427,9,247,co2kx2
8,Disco Elysium,2019-10-15,26472,8,185,co1sfj
9,The Witcher 3: Wild Hunt,2015-05-19,1942,7,347,co1wyy
10,Fallout: New Vegas,2010-10-19,16,6,484,co1u60
11,Fable Anniversary,2014-02-04,7658,5,752,co22lr
12,Persona 5 Royal,2019-10-31,114283,4,108,co1nic
13,Dragon Age: Origins,2009-11-03,76,3,1161,co2mvs
14,The Elder Scrolls V: Skyrim - Anniversary Edition,2021-11-11,165192,2,1503,co3lyu
15,Final Fantasy VII Remake Intergrade,2021-06-10,144024,1,357,co4vor
