Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Chrono Trigger,1995-03-11,1802,15,519,co3plw
2,Final Fantasy VI,1994-04-02,426,14,515,co31c2
3,Baldur's Gate II: Shadows of Amn,2000-09-21,6,13,1089,co1y4w
4,Pokémon Yellow,1998-09-12,1512,12,1496,co5pih
5,World of Warcraft,2004-11-23,123,11,514,co2l7z
6,Planescape: Torment,1999-12-12,832,10,734,co3ggb
7,Secret of Mana,1993-08-06,3216,9,571,co2u6w
8,Diablo II,2000-06-29,126,8,1087,co3gfq
9,Vagrant Story,2000-02-10,2216,7,267,co2rso
10,The Witcher 3: Wild Hunt,2015-05-19,1942,6,347,co1wyy
11,Mass Effect 2,2010-01-26,74,5,334,co20ac
12,Dark Souls,2011-09-22,2155,4,26,co1x78
13,Persona 4 Golden,2012-06-15,2985,3,733,co1n1x
14,Star Wars: Knights of the Old Republic,2003-07-15,116,2,790,co1tmz
15,Fallout 2,1998-10-29,14,1,1497,co50kv
