Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,StarCraft II: Wings of Liberty,2010-07-27,239,15,1173,co1tnn
2,Warcraft III: Reign of Chaos,2002-07-03,132,14,1103,co1xuq
3,Rome: Total War,2004-09-22,438,13,1110,co1zt9
4,Empire Earth II,2005-04-26,1608,12,1788,co22ul
5,Command & Conquer: Generals,2003-02-10,649,11,1789,co1nyd
6,Age of Empires II: The Age of Kings,1999-09-30,327,10,1079,co55xo
7,Company of Heroes,2006-09-12,654,9,1130,co2ht7
8,Command & Conquer: Red Alert 2,2000-10-25,245,8,1764,co2345
9,Supreme Commander,2007-02-16,276,7,1762,co2jpd
10,Rise of Nations,2003-05-20,848,6,1761,co2aya
11,Stronghold Crusader,2002-07-31,964,5,1772,co2rgk
12,Homeworld,1999-09-28,749,4,1750,co29ly
13,Sid Meier's Civilization II,1996-02-29,634,3,25,co5x8t
14,Age of Mythology,2002-10-30,324,2,1790,co2xlp
15,Sacrifice,2000-11-05,853,1,1791,co2r86
