Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Evil Genius 2: World Domination,2021-03-30,44074,15,1793,co2urs
2,Project Phoenix,2018-12-31,7204,14,1794,co61ba
3,Iron Harvest,2020-09-01,25581,13,1785,co3b8n
4,Driftland: The Magic Revival,2019-04-18,69455,12,1795,co2uz2
5,StarCraft II: Legacy of the Void,2015-11-10,458,11,1796,co52n6
6,Northgard,2018-03-07,18918,10,1753,guqifzispzew1rubnyzd
7,Halo Wars 2,2017-02-21,11570,9,1797,co2807
8,Age of Empires II: HD Edition,2013-04-09,2950,8,1798,co1xxx
9,Warcraft III: Reforged,2020-01-28,111650,7,1792,co1rrv
10,The Universim,2018-08-28,9943,6,1799,co3wjs
11,They Are Billions,2017-12-13,36616,5,1784,co1n7h
12,Tropico 6,2019-03-29,36649,4,1800,co1idx
13,Command & Conquer: Red Alert 2,2000-10-25,245,3,1764,co2345
14,Offworld Trading Company,2016-04-28,10637,2,1782,co256k
15,Steel Division: Normandy 44,2017-05-23,27475,1,1801,co24u9
