Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Yakuza 0,2015-03-12,11397,15,411,co252x
2,Hades,2019-12-10,113112,14,95,co39vc
3,Elden Ring,2022-02-25,119133,13,10,co4jni
4,Sayonara Wild Hearts,2019-09-19,113107,12,754,co2gx1
5,Hollow Knight,2017-02-24,14593,11,145,co1rgi
6,Celeste,2018-01-25,26226,10,144,co3byy
7,Dead Cells,2018-08-06,26855,9,619,co5vwu
8,Vampire Survivors,2021-12-17,186725,8,252,co4bzv
9,Undertale,2015-09-15,12517,7,413,co2855
10,God of War,2018-04-20,19560,6,345,co1tmu
11,Slay the Spire,2019-01-23,40477,5,146,co1iyf
12,Dorfromantik,2021-03-25,134799,4,755,co2lzk
13,Neon White,2022-06-16,143612,3,261,co2tgh
14,Furi,2016-07-05,17026,2,638,co27q3
15,Disco Elysium: The Final Cut,2021-03-30,141540,1,431,co2ve1
