Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil 4,2023-03-24,132181,15,212,co4tg4
2,Marvel's Midnight Suns,2022-12-02,165347,14,744,co3ofr
3,Hitman 3,2021-01-20,134595,13,135,co29lt
4,Vampire Survivors,2021-12-17,186725,12,252,co4bzv
5,Persona 3 Portable,2009-11-01,11416,11,745,co1n1z
6,Hollow Knight,2017-02-24,14593,10,145,co1rgi
7,Metal Gear Solid V: The Phantom Pain,2015-09-01,1985,9,331,co1v85
8,The Great Ace Attorney Chronicles,2021-07-26,146075,8,746,co2ylx
9,Hades,2019-12-10,113112,7,95,co39vc
10,Final Fantasy VI,1994-04-02,426,6,515,co31c2
11,Chrono Trigger,1995-03-11,1802,5,519,co3plw
12,Monster Hunter Rise,2021-03-26,138950,4,591,co3uzk
13,Death Stranding,2019-11-08,19564,3,399,co5vq8
14,Triangle Strategy,2022-03-04,143610,2,747,co3vno
15,Borderlands 3,2019-09-13,19164,1,748,co20r3
