Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Portal 2,2011-04-18,72,15,325,co1rs4
2,Terraria,2011-05-16,1879,14,708,co1rbo
3,Stardew Valley,2016-02-26,17000,13,386,xrpmydnu9rpxvxfjkiu7
4,Vampire Survivors,2021-12-17,186725,12,252,co4bzv
5,Hades,2019-12-10,113112,11,95,co39vc
6,Left 4 Dead 2,2009-11-17,124,10,764,co1y2f
7,Euro Truck Simulator 2,2012-10-18,3070,9,765,co258w
8,Portal 2,2011-04-18,72,8,325,co1rs4
9,RimWorld,2018-10-17,9789,7,766,co1j6x
10,The Binding of Isaac: Rebirth,2014-11-04,7789,6,650,co1lbm
11,Phasmophobia,2020-09-18,132516,5,128,co2hby
12,Slay the Spire,2019-01-23,40477,4,146,co1iyf
13,Hollow Knight,2017-02-24,14593,3,145,co1rgi
14,Half-Life 2,2004-11-16,233,2,160,co1nmw
15,Totally Accurate Battle Simulator,2019-12-20,21642,1,767,co1veb
