Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Alone in the Dark,1992-09-01,1956,15,2173,co1wa5
2,Resident Evil,2002-03-22,24869,14,1356,co2vz8
3,Resident Evil 2,1998-01-21,880,13,248,co2vz0
4,Resident Evil 3: Nemesis,1999-09-22,966,12,521,co2vvb
5,Resident Evil Code: Veronica,2000-02-03,968,11,1085,co2vzn
6,Resident Evil 2,2019-01-25,19686,10,354,co1ir3
7,Resident Evil 4,2005-01-11,974,9,426,co2wk8
8,Resident Evil 7: Biohazard,2017-01-24,19562,8,47,co545w
9,Resident Evil Village,2021-05-06,55163,7,127,co2zpu
10,Dino Crisis,1999-07-01,3027,6,1858,co530k
11,Fatal Frame II: Crimson Butterfly,2003-11-27,5105,5,2171,co1ov0
12,Silent Hill 2,2001-09-24,481,4,311,co2vyg
13,Silent Hill 3,2003-05-23,482,3,2174,co3kol
14,Dead Space,2008-10-14,37,2,482,co2g7w
15,Dead Space 2,2011-01-25,38,1,440,co20xq
