Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Darkwood,2017-08-17,17032,15,2169,co24nh
2,Silent Hill 2,2001-09-24,481,14,311,co2vyg
3,Bloodborne,2015-03-24,7334,13,346,co1rba
4,Amnesia: The Bunker,2023-06-06,228258,12,2032,co5us3
5,Resident Evil 4,2023-03-24,132181,11,212,co4tg4
6,Sweet Home,1989-12-15,9426,10,2170,co2ywj
7,Resident Evil Village,2021-05-06,55163,9,127,co2zpu
8,Alien: Isolation,2014-10-06,4754,8,1257,co1vzu
9,Fatal Frame II: Crimson Butterfly,2003-11-27,5105,7,2171,co1ov0
10,Outlast,2013-09-04,1910,6,1822,co1yat
