Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Firewatch,2016-02-09,9730,15,648,co1m35
2,Gone Home,2013-08-15,1906,14,785,qwhxxrcxzw7inwfrfkbq
3,What Remains of Edith Finch,2017-04-24,11233,13,397,co1rbj
4,Dear Esther,2012-02-14,3082,12,646,co2eez
5,The Vanishing of Ethan Carter,2014-09-25,2939,11,1264,co1r7q
6,Everybody's Gone to the Rapture,2015-08-11,7405,10,1255,co3way
7,The Witness,2016-01-26,5601,9,1234,co3hih
8,Journey,2012-03-13,1352,8,332,co1q8q
9,Tacoma,2017-08-02,8259,7,2159,co2tge
10,The Stanley Parable,2013-10-17,3035,6,643,co1rc9
11,Oxenfree,2016-01-14,14587,5,1951,co2hlq
12,Eastshade,2019-02-13,17480,4,2160,co4b9w
13,Kentucky Route Zero,2013-01-07,5614,3,405,co3240
14,Night in the Woods,2017-02-21,10148,2,649,co4ovg
15,Proteus,2013-01-30,2163,1,2141,co65k6
