Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Starfield,2023-09-06,96437,15,985,co39vv
2,Street Fighter 6,2023-06-02,191692,14,844,co5vst
3,Diablo IV,2023-06-02,125165,13,986,co69sm
4,Final Fantasy XVI,2023-06-22,31551,12,987,co5w3k
5,Hollow Knight: Silksong,2023-12-31,115289,11,988,co3vtl
6,Baldur's Gate 3,2020-10-06,119171,10,989,co670h
7,Lies of P,2023-08-01,148241,9,990,co30p9
8,Marvel's Spider-Man 2,2023-12-31,127044,8,991,co5vrx
9,Mortal Kombat 1,2023-09-19,239392,7,992,co6i4r
10,S.T.A.L.K.E.R. 2: Heart of Chornobyl,2023-12-01,101440,6,993,co5pxn
11,Metal Gear Solid Delta: Snake Eater,1970-01-01,250634,5,1007,co6jau
