SourceName,SourceURL,SourceId,GeneratedCsvPath
CBR,https://www.cbr.com/most-anticipated-video-games-2024/,179,cbr/cbr - 2024-03-30_18-48-16.csv
Complex,https://www.complex.com/pop-culture/a/kevin-wong/video-games-releasing-in-2024,170,complex/complex - 2024-03-30_19-23-48.csv
Game,https://www.game.co.uk/en/blog/most-anticipated-games-2024/,386,game/game - 2024-03-30_18-42-43.csv
Gameskinny,https://www.gameskinny.com/culture/10-most-anticipated-games-coming-out-in-2024/,388,gameskinny/gameskinny - 2024-03-30_19-21-18.csv
Inverse,https://www.inverse.com/gaming/video-games-2024-most-anticipated,238,inverse/inverse - 2024-03-30_18-44-09.csv
Kotaku,https://kotaku.com/2024-video-games-release-ff7-rebirth-star-wars-ps5-xbox-1850972294,147,kotaku/kotaku - 2024-03-30_18-33-15.csv
Shortlist,https://www.shortlist.com/lists/video-game-preview-fantastic-upcoming-games-to-look-out-for-in-2024-404184,165,shortlist/shortlist - 2024-03-30_18-51-58.csv
Sportskeeda,https://www.sportskeeda.com/esports/10-anticipated-video-games-expected-launch-2024,265,sportskeeda/sportskeeda - 2024-03-30_19-29-12.csv
Stuff TV,https://www.stuff.tv/features/best-upcoming-games/,93,stuff tv/stuff tv - 2024-03-30_18-50-16.csv
Supanova,https://www.supanova.com.au/the-most-anticipated-games-for-2024/,387,supanova/supanova - 2024-03-30_18-59-03.csv
Whatculture,https://whatculture.com/gaming/20-most-anticipated-video-games-of-2024,266,whatculture/whatculture - 2024-03-30_19-35-55.csv
