Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Star Wars Outlaws,2024-12-31,252827,15,2204,co77oz
2,Final Fantasy VII Rebirth,2023-12-31,133236,14,1001,co4vp0
3,Senua's Saga: Hellblade II,2024-12-31,127342,13,1522,co6m1n
4,Avowed,2024-12-31,135994,12,1523,co6m13
5,Microsoft Flight Simulator 2024,2024-12-31,252830,11,2208,co6m0z
6,The Wolf Among Us 2,2024-12-31,51523,10,1583,co4ha1
7,Palworld,2024-01-19,151665,9,2209,co7n02
8,Prince of Persia: The Lost Crown,2024-01-18,252476,8,2210,co6lli
9,Like a Dragon: Infinite Wealth,2024-01-26,217623,7,2199,co73u4
10,Persona 3 Reload,2024-02-02,252647,6,2211,co6z12
