Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Grand Theft Auto VI,2025-12-31,52189,15,2074,co7gdk
2,Ghost of Yotei,2025-12-31,317627,14,2486,co8urc
3,Elden Ring: Nightreign,2025-12-31,325591,13,2882,co95gk
4,Borderlands 4,2025-12-31,314246,12,2883,co97pi
5,Doom: The Dark Ages,2025-12-31,302704,11,2488,co8boq
6,Death Stranding 2: On The Beach,2025-12-31,228530,10,2452,co7p8z
7,Monster Hunter Wilds,2025-02-28,279661,9,2884,co904o
8,Assassin's Creed Shadows,2025-03-20,300976,8,2885,co87cu
9,Metroid Prime 4: Beyond,2025-12-31,37136,7,2886,co8d8c
10,Fable,1970-01-01,92550,6,1525,co2e0b
11,Avowed,2024-12-31,135994,5,1523,co6m13
12,Crimson Desert,1970-01-01,125633,4,2213,co1t9n
13,Metal Gear Solid Delta: Snake Eater,1970-01-01,250634,3,1007,co6jau
14,Dying Light: The Beast,2025-09-30,314252,2,2887,co8pey
15,South of Midnight,2025-12-31,252826,1,2888,co8bot
