Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Resident Evil 4,2023-03-24,132181,14,212,co4tg4
3,Final Fantasy XVI,2023-06-22,31551,13,987,co5w3k
4,Marvel's Spider-Man 2,2023-12-31,127044,12,991,co5vrx
5,Hogwarts Legacy,2023-02-10,136625,11,20,co2gn3
6,Starfield,2023-09-06,96437,10,985,co39vv
7,Star Wars Jedi: Survivor,2023-04-28,201156,9,721,co5uzk
8,Pragmata,1970-01-01,134612,8,1352,co48ze
9,Street Fighter 6,2023-06-02,191692,7,844,co5vst
10,Alan Wake II,2023-10-17,185246,6,998,co6jar
11,Dead Space,2023-01-27,159119,5,88,co5esn
12,Diablo IV,2023-06-02,125165,4,986,co69sm
13,Forspoken,2023-01-24,134583,3,1351,co4u6r
14,Wo Long: Fallen Dynasty,2023-03-03,204628,2,996,co4v34
