Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Final Fantasy XVI,2023-06-22,31551,15,987,co5w3k
2,Star Wars Jedi: Survivor,2023-04-28,201156,14,721,co5uzk
3,Suicide Squad: Kill the Justice League,2024-02-02,136627,13,995,co40fu
4,Starfield,2023-09-06,96437,12,985,co39vv
5,Resident Evil 4,2023-03-24,132181,11,212,co4tg4
6,Diablo IV,2023-06-02,125165,10,986,co69sm
7,The Wolf Among Us 2,2024-12-31,51523,9,1583,co4ha1
8,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,8,21,co5vmg
9,Marvel's Spider-Man 2,2023-12-31,127044,7,991,co5vrx
10,Dead Space,2023-01-27,159119,6,88,co5esn
