Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Like a Dragon: Infinite Wealth,2024-01-26,217623,15,2199,co73u4
2,Unicorn Overlord,2024-03-08,68353,14,2212,co7310
3,Crimson Desert,1970-01-01,125633,13,2213,co1t9n
4,Star Wars Outlaws,2024-12-31,252827,12,2204,co77oz
5,S.T.A.L.K.E.R. 2: Heart of Chornobyl,2023-12-01,101440,11,993,co5pxn
6,Final Fantasy VII Rebirth,2023-12-31,133236,10,1001,co4vp0
7,Tekken 8,1970-01-01,217590,9,1520,co6ab7
8,Prince of Persia: The Lost Crown,2024-01-18,252476,8,2210,co6lli
9,Suicide Squad: Kill the Justice League,2024-02-02,136627,7,995,co40fu
10,Mario vs. Donkey Kong,2024-02-16,266674,6,2167,co73js
