Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Star Wars Outlaws,2024-12-31,252827,15,2204,co77oz
2,Final Fantasy VII Rebirth,2023-12-31,133236,14,1001,co4vp0
3,Tomb Raider I•II•III Remastered,2024-02-14,266683,13,2205,co7qtb
4,Fable,1970-01-01,92550,12,1525,co2e0b
5,Silent Hill 2,1970-01-01,222341,11,1441,co5l7s
6,Warhammer 40,000: Space Marine II,2024-09-09,185252,10,2206,co5vab
7,South Park: Snow Day!,2024-03-26,261145,9,2207,co7h65
8,Dragon's Dogma II,1970-01-01,115060,8,1524,co4vr8
9,The Wolf Among Us 2,2024-12-31,51523,7,1583,co4ha1
10,Hades II,1970-01-01,228525,6,1008,co5va1
