Position,Title,TotalScore,ListsAppeared
1,Grand Theft Auto VI (2025),60,4
2,Ghost of Yotei (2025),38,3
3,Death Stranding 2: On The Beach (2025),36,3
4,Monster Hunter Wilds (2025),34,3
5,Metroid Prime 4: Beyond (2025),34,3
6,Borderlands 4 (2025),29,3
7,Assassin's Creed Shadows (2025),29,3
8,Fable (1970),26,3
9,Doom: The Dark Ages (2025),22,2
10,Kingdom Come: Deliverance II (2025),18,2
11,Elden Ring: Nightreign (2025),13,1
12,Pokémon Legends: Z-A (2025),11,1
13,Sid Meier's Civilization VII (2025),9,1
14,Like a Dragon: Pirate Yakuza in Hawaii (2025),9,1
15,Mafia: The Old Country (2025),6,1
16,Avowed (2024),5,1
17,Crimson Desert (1970),4,1
18,Metal Gear Solid Delta: Snake Eater (1970),3,1
19,Dying Light: The Beast (2025),2,1
20,South of Midnight (2025),1,1
